partitionid,dataspaceid,repositoryid,alertid,title,alertkey,severity,component_type,sources
4,11,421,49162,CST-E has determined that this component is not generally safe to use.,v6:ec08c81a582f46468213a3d6236b4ea3,1,2,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnpm%2Fpassport-azure-ad%2Freview-1.md""}}"
4,11,567,86644,CVE-2022-30595,v6:8c6db2e14669448f8af37a6d3e777aa5,2,8,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2022-30595""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-30595""}}"
4,12,1,66897,CVE-2021-35513,v6:95a0b4f1bfc3454cb440b4780629e6de,1,2,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-35513""}}"
4,12,1,77444,CVE-2017-0235,v2:8635c10f-2cbf-478d-9c29-c5fb93917543,2,1,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2017-0235""}}"
4,12,1,77462,CVE-2017-11919,v2:c68fe134-107f-45da-9a4d-9344922c238e,0,1,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2017-11919""}}"
4,12,1,77453,CVE-2017-11797,v2:a12bedf2-d5e5-45a3-a81d-8706f10108a4,2,1,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2017-11797""}}"
4,12,1,77535,CVE-2020-0812,v6:7a60f48e4473427e8303324b60e50da6,2,1,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2020-0812""}}"
4,12,1,77431,CVE-2017-11791,v2:209b0ba9-9e4d-47a1-93e0-8d1782a74559,0,1,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2017-11791""}}"
4,12,1,68604,GHSA-xf5p-87ch-gxw2,v6:0411792d1f1145089caa52aeca1a672a,1,2,"{""GitHubAdvisories"":{""Url"":""https://github.com/markedjs/marked/issues/1070""}}"
4,12,1,4231,WS-2019-0025,v2:caea281b-fc93-47a5-9769-2d03b56e8af2,1,2,"{""WhiteSource"":{""Url"":""https://github.com/markedjs/marked/commit/cb72584c5d9d32ebfdbb99e35fb9b81af2b79686""}}"
4,12,1,25054,CVE-2017-17461,v6:08a9d7fab09b4d3dacbc45ac368e3f5d,1,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2017-17461""}}"
