partitionid,dataspaceid,repositoryid,alertid,title,alertkey,severity,component_type,sources
7,1791,188914,6256113,CST-E has determined that this component is not generally safe to use.,v6:0b7f2a2e247e49fcab05fbdc0abcc109,2,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fmicrosoft.identity.serverauthorization%2Freview-2.md""}}"
7,1791,191102,6866389,CST-E has determined that this component is not generally safe to use.,v6:bc71f45e224d42aa8265cc358da5d877,3,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2Fmds-dataaccessclient%2Freview-1.md""}}"
7,1791,194015,6834610,CVE-2020-28042,v6:652befb496374e4b9facf81e0f4fef11,1,1,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2020-28042""}}"
7,1791,194867,7165051,CVE-2021-32012,v6:3ace44d1fe8c422a9bce4abb5d28733e,1,9,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2021-32012""}}"
7,1791,194867,7165052,CVE-2021-32014,v6:685e880d9a3e4e5898e9cea5c6b072a4,1,9,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2021-32014""}}"
7,1791,194867,7165053,CVE-2021-32013,v6:943c41cc9d5a42238b2bf2008212c11b,1,9,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2021-32013""}}"
7,1791,195286,7269320,CVE-2019-9512,v6:703145f86b164ee2868d74315c46caa3,2,3,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2019-9512""}}"
7,1791,195286,7269322,CVE-2019-9518,v6:acd6216b8f254f2f83e16b9d373266e1,2,3,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2019-9518""}}"
7,1791,195286,7269321,CVE-2019-9515,v6:962883addcaf49aea8f49afae04a87cd,2,3,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2019-9515""}}"
7,1791,195286,7269323,CVE-2019-9514,v6:b1be8fea902c49f8a984fc4e953524fd,2,3,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2019-9514""}}"
7,1791,195286,7269302,CVE-2020-35774,v6:1ed875b329674f859cdbf046c724af7a,1,3,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2020-35774""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2020-35774""}}"
7,1791,195865,7238244,CVE-2022-1365,v6:a94d66cffde94d6ab13ad33a4ca5c286,1,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2022-1365""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-1365""}}"
7,1791,196224,7263480,CVE-2021-33880,v6:468f4aa1e085499d9d53e94ce9f97876,1,8,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2021-33880""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2021-33880""}}"
7,1791,196224,7264383,CVE-2021-4020,v6:38192385d319494097bd51fd7d9c16fc,0,9,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2021-4020""}}"
7,1791,196224,7264384,CVE-2021-4124,v6:b5bd6a9a97444756bf10974573806375,1,9,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2021-4124""}}"
7,1791,196247,7264918,CST-E has determined that this component is not generally safe to use.,v6:5c3d423962854c1092f99fcd85cd93e8,1,1,"{""TwC"":{""Url"":""https://dev.azure.com/OneCST/SecurityEngineering/_git/OSS-Security-Reviews?path=%2Freviews%2Fnuget%2FdSMS%2Freview-1.md""}}"
7,1791,196389,7268982,CVE-2022-1929,v6:e1b8e8f26cc249d3940a5888b5572c5e,0,2,"{""GitHubAdvisories"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2022-1929""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-1929""}}"
7,1792,114865,5216653,CVE-2019-2212,v6:7561750402584d81b4a51650fa1e8735,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-2212""}}"
7,1792,129907,6691994,CVE-2020-11655,v6:2b178a47b096404e802e73a6097b5ed3,2,4,"{""VulnDB"":{""Url"":""http://cve.mitre.org/cgi-bin/cvename.cgi?name=2020-11655""}}"
7,1792,129907,6691995,CVE-2020-11656,v6:83759d6de33f4e01998fc6090309f694,3,4,"{""VulnDB"":{""Url"":""http://cve.mitre.org/cgi-bin/cvename.cgi?name=2020-11656""}}"
7,1792,129907,6691996,CVE-2020-9327,v6:b05bdaba2a27480f90e8b2c8b2164ad1,1,4,"{""VulnDB"":{""Url"":""http://cve.mitre.org/cgi-bin/cvename.cgi?name=2020-9327""}}"
7,1792,136945,4629481,CVE-2021-21772,v6:29f064febe1b4d9aaff7a002317282d1,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-21772""}}"
7,1792,137304,5279335,CVE-2021-29614,v6:d305f63e4a244ebc99452a77ff7358a8,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-29614""}}"
7,1792,137304,5279336,CVE-2021-29558,v6:b6df4c2040ad4415aaaf48435f2f4c15,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-29558""}}"
7,1792,137304,5279337,CVE-2021-29618,v6:0ea434d0e8a64dcc939b57ed73cabf6c,0,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-29618""}}"
7,1792,137304,6037915,CVE-2021-42771,v6:ceb67414a06947edb051d2b918e3e770,1,9,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-42771""}}"
7,1792,137304,6742825,CVE-2022-24303,v6:e405b13cde654c74a258f30e3a0b2546,1,9,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-24303""}}"
7,1792,192072,6671193,WS-2021-0185,v6:f3a079e2db6c4b1c81dfcefef412afe3,1,9,"{""WhiteSource"":{""Url"":""https://github.com/libjpeg-turbo/libjpeg-turbo/commit/f35fd27ec641c42d6b115bfa595e483ec58188d2""}}"
7,1792,192072,6671197,CVE-2018-11813,v6:40bd21aaf68840c89fd03770a3fe6a48,1,9,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2018-11813""}}"
7,1792,192072,6671195,CVE-2020-14152,v6:655b24ba7cb748d9a973581dda27a9f2,1,9,"{""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2020-14152""}}"
7,1793,97883,6805828,CVE-2022-21716,v6:b03a9fc3aa044553921878ec99aedf17,2,8,"{""GitHubAdvisories"":{""Url"":""https://github.com/twisted/twisted/security/advisories/GHSA-rv6r-3f5q-9rgx""},""WhiteSource"":{""Url"":""https://vuln.whitesourcesoftware.com/vulnerability/CVE-2022-21716""}}"
7,1793,98011,2268288,CVE-2018-6758,v6:3979410153ab4d6b89ee383cc7f1bea5,2,8,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2018-6758""}}"
7,1793,98429,2998627,Prototype Pollution,v2:ec45f587-fe04-4296-8cb5-f698bf96cdf4,2,2,"{""NpmAudit"":{""Url"":""https://npmjs.com/advisories/1094""}}"
7,1793,169246,7255954,CVE-2021-3449,v6:1e1687da2e6340eead3a88bb99c7578c,1,13,"{""Alpine"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2021-3449""}}"
7,1793,169246,7255955,CVE-2021-23841,v6:29e78f39cfe749389adbaaa41dc7cfa5,1,13,"{""Alpine"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2021-23841""}}"
7,1793,169246,7255956,CVE-2021-3450,v6:5e7bbdbac3614a28af2b71934369d01c,1,13,"{""Alpine"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2021-3450""}}"
7,1793,169246,7255957,CVE-2021-3711,v6:8f90cd3acae942c2ab6af6b2fba781e0,1,13,"{""Alpine"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2021-3711""}}"
7,1793,169246,7255958,CVE-2022-0778,v6:99d159d9a4e0418e86b3e6d9430dee6c,1,13,"{""Alpine"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2022-0778""}}"
7,1793,169246,7255959,CVE-2020-1971,v6:9a7a67c72257456099d1d07e9c180807,1,13,"{""Alpine"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2020-1971""}}"
7,1793,169246,7255960,CVE-2021-3712,v6:a1d18f759c4649f1a907606efd3ab07f,1,13,"{""Alpine"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2021-3712""}}"
7,1793,169246,7255961,CVE-2021-23839,v6:d7ff993c0a2e4e5badd6f93fee1b42aa,1,13,"{""Alpine"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2021-23839""}}"
7,1793,169246,7255962,CVE-2021-23840,v6:d857517d1eaf4c83bb97d7dc1772286d,1,13,"{""Alpine"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2021-23840""}}"
7,1793,169246,7255967,CVE-2020-8231,v6:25671cc97bab49b58f934733a56cf212,1,13,"{""Alpine"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2020-8231""}}"
7,1793,169246,7255968,CVE-2020-8169,v6:4cc5ac480b2c492c849c808e3a4bbddf,1,13,"{""Alpine"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2020-8169""}}"
7,1793,169246,7255970,CVE-2020-8286,v6:c56aff065fd746ad90b6ff4b67cf0667,1,13,"{""Alpine"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2020-8286""}}"
7,1793,169246,7255971,CVE-2020-8285,v6:d449445dc43f4025b4b6af86dea4afd9,1,13,"{""Alpine"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2020-8285""}}"
7,1793,169246,7255972,CVE-2020-8177,v6:dd117f71b4844a2a8d7da9b478f5b963,1,13,"{""Alpine"":{""Url"":""https://nvd.nist.gov/vuln/detail/CVE-2020-8177""}}"
7,1793,169246,7255926,CVE-2019-13050,v6:d3529e848f8f4fa9aef37970ffb774f2,0,13,"{""UbuntuCve"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-13050""}}"
7,1793,172789,4188134,CVE-2019-18224,v6:45749335c127435eb25b5e20f81a7f6d,2,13,"{""WhiteSource"":{""Url"":""https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-18224""}}"
